Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,ข้อมูลและประสิทธิภาพของแอป / ข้อมูลประสิทธิภาพของแอปอื่นๆ
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,,MULTIPLE_CHOICE,ไฟล์และเอกสาร / ไฟล์และเอกสาร
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,,MULTIPLE_CHOICE,กิจกรรมบนแอป / การโต้ตอบกับแอป
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,กิจกรรมบนแอป / ประวัติการค้นหาในแอป
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,กิจกรรมบนแอป / แอปที่ติดตั้ง
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,,MULTIPLE_CHOICE,กิจกรรมบนแอป / เนื้อหาอื่นๆ ที่ผู้ใช้สร้างขึ้น
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,กิจกรรมบนแอป / การดำเนินการอื่นๆ
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,,MULTIPLE_CHOICE,อุปกรณ์หรือรหัสอื่นๆ / อุปกรณ์หรือรหัสอื่นๆ
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ข้อมูลนี้มีการรวบรวม แชร์ หรือทั้งสองอย่าง / รวบรวมแล้ว
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ข้อมูลนี้มีการรวบรวม แชร์ หรือทั้งสองอย่าง / แชร์แล้ว
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,true,MAYBE_REQUIRED,การใช้และการจัดการข้อมูล (ชื่อ) / ข้อมูลนี้มีการประมวลผลชั่วคราวหรือไม่
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ข้อมูลนี้จำเป็นสำหรับแอปคุณหรือไม่ หรือผู้ใช้สามารถเลือกว่าจะให้รวบรวมได้หรือไม่ / ผู้ใช้สามารถเลือกได้ว่าจะให้รวบรวมข้อมูลนี้หรือไม่
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ข้อมูลนี้จำเป็นสำหรับแอปคุณหรือไม่ หรือผู้ใช้สามารถเลือกว่าจะให้รวบรวมได้หรือไม่ / จำเป็นต้องมีการรวบรวมข้อมูล (ผู้ใช้ไม่สามารถปิดการรวบรวมข้อมูลนี้ได้)
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / ฟังก์ชันการทำงานของแอป
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การวิเคราะห์
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,true,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การสื่อสารจากนักพัฒนาแอป
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การป้องกันการประพฤติมิชอบ การรักษาความปลอดภัย และการปฏิบัติตามข้อกำหนด
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การโฆษณาหรือการตลาด
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การกำหนดค่าส่วนบุคคล
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การจัดการบัญชี
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / ฟังก์ชันการทำงานของแอป
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การวิเคราะห์
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การสื่อสารจากนักพัฒนาแอป
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การป้องกันการประพฤติมิชอบ การรักษาความปลอดภัย และการปฏิบัติตามข้อกำหนด
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การโฆษณาหรือการตลาด
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ชื่อ) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การกำหนดค่าส่วนบุคคล
